a,b,c,d,e,f,g,h
https://airbnb.com/rooms/45778323,1bdrm turnkey security bldg condo - null - Anchorage,Entire condominium in Anchorage,1 guest · 1 bedroom · 1 bed · 1 bath,$55 / night,Wifi·Kitchen·Dryer·Washer,,
https://airbnb.com/rooms/31697765,Private Mountain Chalet with Breathtaking Views - null - Anchorage,Entire chalet in Anchorage,4 guests · 1 bedroom · 2 beds · 1 bath,$75 / night,Wifi·Ski-in/Ski-out·Selfcheck-in·Kitchen,Rating 4.89 out of 5;4.89186 reviews (186),186 reviews
https://airbnb.com/rooms/39068592,Celebrity Status / FANCY Downtown house with Views - null - Anchorage,Entire house in Anchorage,6 guests · 2 bedrooms · 2 beds · 2.5 baths,$123 / night,Wifi·Airconditioning·Selfcheck-in·Petsallowed,Rating 4.78 out of 5;4.7893 reviews (93),93 reviews
https://airbnb.com/rooms/37158488,Chickadee Chateau - null - Anchorage,Entire house in Anchorage,2 guests · 1 bedroom · 1 bed · 1 bath,$40 / night,Wifi·Petsallowed·Kitchen·Dryer,Rating 4.76 out of 5;4.76140 reviews (140),140 reviews
https://airbnb.com/rooms/46694822,Month to Month / Top-Floor Condo / Balcony & Views - null - Anchorage,Entire condominium in Anchorage,6 guests · 2 bedrooms · 2 beds · 1 bath,$69 / night,Wifi·Breakfast·Selfcheck-in·Petsallowed,,
https://airbnb.com/rooms/20193260,Bear Tooth House - null - Anchorage,Entire house in Anchorage,4 guests · 2 bedrooms · 2 beds · 1 bath,$75 / night,Wifi·Kitchen·Dryer·Washer,Rating 4.91 out of 5;4.91160 reviews (160),160 reviews
https://airbnb.com/rooms/46399059,The Amor // Modern Downtown Hideaway with YARD // - null - Anchorage,Entire house in Anchorage,4 guests · 2 bedrooms · 3 beds · 1 bath,$82 / night,Wifi·Waterfront·Selfcheck-in·Petsallowed,Rating 5.0 out of 5;5.06 reviews (6),6 reviews
https://airbnb.com/rooms/40976412,Postcard Perfect + Seaside + Downtown with views. - null - Anchorage,Entire house in Anchorage,6 guests · 2 bedrooms · 3 beds · 2.5 baths,$132 / night,Wifi·Selfcheck-in·Petsallowed·Kitchen,Rating 4.80 out of 5;4.8040 reviews (40),40 reviews
https://airbnb.com/rooms/44183816,Hillside Guest Suite - null - Anchorage,Entire guest suite in Anchorage,4 guests · 1 bedroom · 1 bed · 1 bath,$64 / night,Wifi·Hottub·Selfcheck-in·Petsallowed,Rating 4.85 out of 5;4.8547 reviews (47),47 reviews
https://airbnb.com/rooms/42023541,Near the hospital and trails. local Alaskan hosts! - null - Anchorage,Entire apartment in Anchorage,4 guests · 1 bedroom · 2 beds · 1 bath,$78 / night,Wifi·Selfcheck-in·Kitchen·Dryer,Rating 4.97 out of 5;4.9737 reviews (37),37 reviews
https://airbnb.com/rooms/46399059,The Amor // Modern Downtown Hideaway with YARD // - null - Anchorage,Entire house in Anchorage,4 guests · 2 bedrooms · 3 beds · 1 bath,$82 / night,Wifi·Kitchen·Freeparking·Petsallowed,Rating 5.0 out of 5;5.06 reviews (6),6 reviews
https://airbnb.com/rooms/39068592,Celebrity Status / FANCY Downtown house with Views - null - Anchorage,Entire house in Anchorage,6 guests · 2 bedrooms · 2 beds · 2.5 baths,$123 / night,Wifi·Airconditioning·Kitchen·Freeparking,Rating 4.78 out of 5;4.7893 reviews (93),93 reviews
https://airbnb.com/rooms/19849098,"""Kodiak room"" Comfy queen bed in Eastside home - null - Anchorage",Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 2 shared baths,$25 / night,Wifi·Kitchen·Freeparking·Indoorfireplace,Rating 4.55 out of 5;4.5589 reviews (89),89 reviews
https://airbnb.com/rooms/43759568,Secluded hillside private rm/bth 7min to shopping - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 private bath,$39 / night,Wifi·Freeparking·Petsallowed·Washer,Rating 4.62 out of 5;4.6229 reviews (29),29 reviews
https://airbnb.com/rooms/19737316,Ptarmigan Rm: Priv. Queen br in Eastside house - null - Anchorage,Private room in Anchorage,1 guest · 1 bedroom · 1 bed · 2 shared baths,$23 / night,Wifi·Kitchen·Freeparking·Indoorfireplace,Rating 4.69 out of 5;4.6974 reviews (74),74 reviews
https://airbnb.com/rooms/37776536,The Quiet Spot in Spenard #2 easy- Self Check in. - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 private bath,$39 / night,Wifi·Freeparking·Selfcheck-in,Rating 4.45 out of 5;4.4544 reviews (44),44 reviews
https://airbnb.com/rooms/21934841,Groovy Turnagain - Lavender Room with private bath - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1.5 baths,$36 / night,Wifi·Kitchen·Freeparking·Breakfast,Rating 4.95 out of 5;4.9599 reviews (99),99 reviews
https://airbnb.com/rooms/42875526,UMED Master Bedroom - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 shared bath,$22 / night,Wifi·Kitchen·Freeparking·Indoorfireplace,Rating 5.0 out of 5;5.03 reviews (3),3 reviews
https://airbnb.com/rooms/20624586,"Private room, close to airport with car rental - null - Anchorage",Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 shared bath,$40 / night,Wifi·Freeparking·Washer·Dryer,Rating 4.90 out of 5;4.90162 reviews (162),162 reviews
https://airbnb.com/rooms/20390006,"Your home, private room & bath, WiFi & cable - null - Anchorage",Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 private bath,$49 / night,Wifi·Freeparking,Rating 4.97 out of 5;4.97110 reviews (110),110 reviews
https://airbnb.com/rooms/27334921,"Marysol's - ""The Last Frontier"" - null - Anchorage",Private room in Anchorage,4 guests · 2 bedrooms · 2 beds · 1 shared bath,$59 / night,Wifi·Kitchen·Freeparking·Washer,Rating 4.98 out of 5;4.98258 reviews (258),258 reviews
https://airbnb.com/rooms/20193260,Bear Tooth House - null - Anchorage,Entire house in Anchorage,4 guests · 2 bedrooms · 2 beds · 1 bath,$75 / night,Wifi·Kitchen·Freeparking·Washer,Rating 4.91 out of 5;4.91160 reviews (160),160 reviews
https://airbnb.com/rooms/33678788,'64 Safe House - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 shared bath,$42 / night,Wifi·Kitchen·Freeparking·Washer,Rating 4.82 out of 5;4.8245 reviews (45),45 reviews
https://airbnb.com/rooms/42023541,Near the hospital and trails. local Alaskan hosts! - null - Anchorage,Entire apartment in Anchorage,4 guests · 1 bedroom · 2 beds · 1 bath,$78 / night,Wifi·Kitchen·Freeparking·Washer,Rating 4.97 out of 5;4.9737 reviews (37),37 reviews
https://airbnb.com/rooms/38025121,The Quiet Spot in Spenard #1 the not so quiet city - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 private bath,$37 / night,Wifi·Freeparking·Selfcheck-in,Rating 4.54 out of 5;4.5439 reviews (39),39 reviews
https://airbnb.com/rooms/17757203,"Private room, near airport. Rental car available - null - Anchorage",Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 shared bath,$38 / night,Wifi·Freeparking·Washer·Dryer,Rating 4.93 out of 5;4.93195 reviews (195),195 reviews
https://airbnb.com/rooms/19487754,Cozy and Comfortable - null - Anchorage,Private room in Anchorage,1 guest · 1 bedroom · 1 bed · 1 shared bath,$35 / night,Wifi·Kitchen·Freeparking·Washer,Rating 5.0 out of 5;5.017 reviews (17),17 reviews
https://airbnb.com/rooms/44183816,Hillside Guest Suite - null - Anchorage,Entire guest suite in Anchorage,4 guests · 1 bedroom · 1 bed · 1 bath,$64 / night,Wifi·Freeparking·Petsallowed·Hottub,Rating 4.85 out of 5;4.8547 reviews (47),47 reviews
https://airbnb.com/rooms/45468425,The Cider Shed - null - Anchorage,Tiny house in Anchorage,2 guests · Studio · 1 bed · 1 bath,$65 / night,Wifi·Kitchen·Freeparking·Petsallowed,Rating 5.0 out of 5;5.014 reviews (14),14 reviews
https://airbnb.com/rooms/40976412,Postcard Perfect + Seaside + Downtown with views. - null - Anchorage,Entire house in Anchorage,6 guests · 2 bedrooms · 3 beds · 2.5 baths,$132 / night,Wifi·Kitchen·Freeparking·Petsallowed,Rating 4.80 out of 5;4.8040 reviews (40),40 reviews
https://airbnb.com/rooms/19807997,Forget-Me-Not: Cozy queen bed in private room - null - Anchorage,Private room in Anchorage,1 guest · 1 bedroom · 1 bed · 2 shared baths,$25 / night,Wifi·Selfcheck-in·Kitchen·Indoorfireplace,Rating 4.51 out of 5;4.5147 reviews (47),47 reviews
https://airbnb.com/rooms/21742954,Contemporary 1000sf 1 Bedroom Apt on Gov't Hill. - null - Anchorage,Entire apartment in Anchorage,2 guests · 1 bedroom · 1 bed · 1 bath,$50 / night,Wifi·Selfcheck-in·Kitchen·Dryer,Rating 5.0 out of 5;5.03 reviews (3),3 reviews
https://airbnb.com/rooms/47428125,"Downtown location, walk to restaurants and shops! - null - Anchorage",Entire apartment in Anchorage,2 guests · 1 bedroom · 1 bed · 1 bath,$65 / night,Wifi·Kitchen·Dryer·Washer,,
https://airbnb.com/rooms/43082580,UMed District Studio.  Medical travelers welcome. - null - Anchorage,Entire apartment in Anchorage,2 guests · Studio · 1 bed · 1 bath,$56 / night,Wifi·Kitchen·Dryer·Washer,Rating 4.67 out of 5;4.673 reviews (3),3 reviews
https://airbnb.com/rooms/14453381,Groovy Turnagain - Lemon Room - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 shared bath,$40 / night,Wifi·Breakfast·Selfcheck-in·Kitchen,Rating 4.93 out of 5;4.93193 reviews (193),193 reviews
https://airbnb.com/rooms/30800431,UMed room 2 - null - Anchorage,Private room in Anchorage,1 guest · 1 bedroom · 1 bed · 1 shared bath,$19 / night,Wifi·Airconditioning·Selfcheck-in·Kitchen,Rating 4.82 out of 5;4.8211 reviews (11),11 reviews
https://airbnb.com/rooms/39054317,Ritz Waterfront / Downtown / Mountain & Ocean VIEW - null - Anchorage,Entire house in Anchorage,6 guests · 2 bedrooms · 2 beds · 2.5 baths,$139 / night,Wifi·Selfcheck-in·Petsallowed·Kitchen,Rating 4.69 out of 5;4.6996 reviews (96),96 reviews
https://airbnb.com/rooms/26432232,Private Spenard home and yard - null - Anchorage,Entire house in Anchorage,3 guests · 1 bedroom · 1 bed · 1 bath,$46 / night,Wifi·Selfcheck-in·Petsallowed·Kitchen,Rating 4.75 out of 5;4.75125 reviews (125),125 reviews
https://airbnb.com/rooms/33068144,Anchorage Hideaway - null - Anchorage,Entire townhouse in Anchorage,6 guests · 2 bedrooms · 4 beds · 1 bath,$49 / night,Wifi·Selfcheck-in·Kitchen·Dryer,Rating 4.81 out of 5;4.8188 reviews (88),88 reviews
https://airbnb.com/rooms/38646394,Private and Centrally Located Apartment - Midtown - null - Anchorage,Entire apartment in Anchorage,4 guests · 1 bedroom · 2 beds · 1 bath,$55 / night,Wifi·Selfcheck-in·Kitchen·Dryer,Rating 4.92 out of 5;4.92127 reviews (127),127 reviews
https://airbnb.com/rooms/34169036,Charming Historic Downtown Cottage - null - Anchorage,Entire house in Anchorage,6 guests · 2 bedrooms · 4 beds · 1 bath,$62 / night,Wifi·Kitchen·Dryer·Washer,Rating 4.78 out of 5;4.78130 reviews (130),130 reviews
https://airbnb.com/rooms/19877911,South Anchorage Denali Room- 5 Min. From Airport - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 shared bath,$25 / night,Wifi·Selfcheck-in·Kitchen·Dryer,Rating 4.94 out of 5;4.9449 reviews (49),49 reviews
https://airbnb.com/rooms/35944903,Lush & New + Modern two bedroom home by Jewel Lake - null - Anchorage,Entire house in Anchorage,6 guests · 2 bedrooms · 2 beds · 1.5 baths,$77 / night,Wifi·Selfcheck-in·Kitchen·Dryer,Rating 4.95 out of 5;4.9579 reviews (79),79 reviews
https://airbnb.com/rooms/19143704,"""Chinook room"" Comfy queen bed in Eastside home - null - Anchorage",Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 2 shared baths,$27 / night,Wifi·Selfcheck-in·Kitchen·Dryer,Rating 4.54 out of 5;4.5448 reviews (48),48 reviews
https://airbnb.com/rooms/47174823,Beautiful one bedroom located in south anchorage - null - Anchorage,Entire apartment in Anchorage,3 guests · 1 bedroom · 1 bed · 1 bath,$60 / night,Wifi·Kitchen·Indoorfireplace·Freeparking,,
https://airbnb.com/rooms/27231254,mid town apartment - null - Anchorage,Entire apartment in Anchorage,5 guests · 1 bedroom · 2 beds · 1 bath,$55 / night,Wifi·Airconditioning·Selfcheck-in·Kitchen,Rating 4.55 out of 5;4.5562 reviews (62),62 reviews
https://airbnb.com/rooms/15904006,"Peaceful, private room, WiFi, cable, en-suite bath - null - Anchorage",Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 private bath,$59 / night,Wifi·Selfcheck-in·Freeparking,Rating 4.94 out of 5;4.94156 reviews (156),156 reviews
https://airbnb.com/rooms/23187948,Views  Alaskan Prospect Heights Guesthouse - null - Anchorage,Entire guesthouse in Anchorage,6 guests · 2 bedrooms · 3 beds · 1 bath,$65 / night,Wifi·Ski-in/Ski-out·Selfcheck-in·Kitchen,Rating 4.98 out of 5;4.9893 reviews (93),93 reviews
https://airbnb.com/rooms/35509990,"Explore and Enjoy,  Alaska at its Best. - null - Anchorage",Entire serviced apartment in Anchorage,5 guests · 1 bedroom · 2 beds · 1 bath,$67 / night,Wifi·Breakfast·Selfcheck-in·Kitchen,Rating 4.90 out of 5;4.9067 reviews (67),67 reviews
https://airbnb.com/rooms/46884235,Room in Midtown - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 shared bath,$64 / night,Wifi·Kitchen·Dryer·Washer,,
https://airbnb.com/rooms/20557284,2BR Apartment in Basement. Private Entry. - null - Anchorage,Private room in Anchorage,6 guests · 2 bedrooms · 2 beds · 1 private bath,$60 / night,Wifi·Freeparking·Heating,Rating 4.95 out of 5;4.95354 reviews (354),354 reviews
https://airbnb.com/rooms/5794087,The Johnson House Cabin - null - Palmer,Entire cabin in Palmer,2 guests · 1 bedroom · 1 bed · 0 baths,$75 / night,Kitchen·Freeparking·Heating,Rating 4.99 out of 5;4.99241 reviews (241),241 reviews
https://airbnb.com/rooms/4438244,Quiet apartment near city center - null - Anchorage,Entire apartment in Anchorage,4 guests · 2 bedrooms · 2 beds · 1 bath,$98 / night,Wifi·Kitchen·Freeparking·Heating,Rating 5.0 out of 5;5.027 reviews (27),27 reviews
https://airbnb.com/rooms/25314793,Aptel Studio Suites - null - Anchorage,Room in aparthotel in Anchorage,4 guests · Studio · 2 beds · 1 private bath,$75 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.22 out of 5;4.229 reviews (9),9 reviews
https://airbnb.com/rooms/28632622,Cupples Cottage #1: Downtown! Close to JBER! - null - Anchorage,Entire apartment in Anchorage,2 guests · 1 bedroom · 1 bed · 1 bath,$73 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.94 out of 5;4.9485 reviews (85),85 reviews
https://airbnb.com/rooms/44040305,The Art House Studio - null - Anchorage,Entire apartment in Anchorage,2 guests · Studio · 1 bed · 1 bath,$61 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.97 out of 5;4.9732 reviews (32),32 reviews
https://airbnb.com/rooms/25736839,Secret Spenard B&B (#1)-- Close to the Airport - null - Anchorage,Entire apartment in Anchorage,4 guests · 1 bedroom · 1 bed · 1 bath,$69 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.93 out of 5;4.93215 reviews (215),215 reviews
https://airbnb.com/rooms/35133924,Apt.#6 Park Studio: Great Location! Near Downtown! - null - Anchorage,Entire apartment in Anchorage,2 guests · 1 bedroom · 1 bed · 1 bath,$50 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.23 out of 5;4.2348 reviews (48),48 reviews
https://airbnb.com/rooms/16930757,Aurora Retreat in Downtown Anchorage! - null - Anchorage,Entire apartment in Anchorage,4 guests · 1 bedroom · 1 bed · 1 bath,$59 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.84 out of 5;4.84252 reviews (252),252 reviews
https://airbnb.com/rooms/45234308,"You are welcome here! Clean, cozy, comfortable! - null - Anchorage",Private room in Anchorage,1 guest · 1 bedroom · 1 bed · 1 private bath,$38 / night,Wifi·Kitchen·Freeparking·Heating,Rating 5.0 out of 5;5.08 reviews (8),8 reviews
https://airbnb.com/rooms/44209906,"Sunny, Spotless & Stylie Suite near Prov/UAA - null - Anchorage",Entire apartment in Anchorage,2 guests · 1 bedroom · 2 beds · 1 bath,$70 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.90 out of 5;4.9030 reviews (30),30 reviews
https://airbnb.com/rooms/35678574,Westchester Suite in Downtown! - null - Anchorage,Entire apartment in Anchorage,6 guests · 3 bedrooms · 3 beds · 2 baths,$99 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.82 out of 5;4.8292 reviews (92),92 reviews
https://airbnb.com/rooms/4477656,Spacious Midtown Condo with Views - null - Anchorage,Entire apartment in Anchorage,6 guests · 2 bedrooms · 3 beds · 1 bath,$56 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.70 out of 5;4.70344 reviews (344),344 reviews
https://airbnb.com/rooms/10387715,Top Floor Midtown Apartment - null - Anchorage,Entire apartment in Anchorage,4 guests · 1 bedroom · 2 beds · 1 bath,$55 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.87 out of 5;4.87121 reviews (121),121 reviews
https://airbnb.com/rooms/20651270,Rae Rae’s Guest Nest - null - Anchorage,Private room in Anchorage,1 guest · 1 bedroom · 1 bed · 1 shared bath,$35 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.48 out of 5;4.4828 reviews (28),28 reviews
https://airbnb.com/rooms/47291620,Convenient Comfortable Quarters - null - Anchorage,Entire house in Anchorage,6 guests · 3 bedrooms · 4 beds · 1 bath,$78 / night,Wifi·Kitchen·Freeparking·Heating,,
https://airbnb.com/rooms/15869550,Hostel Bunk 2 - null - Anchorage,Hostel beds in Anchorage,1 guest · 1 bedroom · 6 beds · 2 shared baths,$26 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.93 out of 5;4.9344 reviews (44),44 reviews
https://airbnb.com/rooms/21969748,Master Suite for 2 w/ Private Bath and W/I Closet - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 private bath,$45 / night,Wifi·Kitchen·Freeparking·Heating,Rating 5.0 out of 5;5.03 reviews (3),3 reviews
https://airbnb.com/rooms/26610304,New Guest Apartment on the Coastal Trail - null - Anchorage,Entire guest suite in Anchorage,4 guests · 1 bedroom · 1 bed · 1 bath,$65 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.95 out of 5;4.95169 reviews (169),169 reviews
https://airbnb.com/rooms/41113750,Fireweed Room: Priv Queen bed in Eastside Home - null - Anchorage,Private room in Anchorage,1 guest · 1 bedroom · 1 bed · 1 shared bath,$25 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.75 out of 5;4.758 reviews (8),8 reviews
https://airbnb.com/rooms/18858447,"Comfy King Bed in private room, UMED/East Anc - null - Anchorage",Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 2 baths,$30 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.32 out of 5;4.3238 reviews (38),38 reviews
https://airbnb.com/rooms/42742446,Umed Room 5 - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 bath,$21 / night,Wifi·Kitchen·Freeparking·Heating,Rating 5.0 out of 5;5.05 reviews (5),5 reviews
https://airbnb.com/rooms/29575464,Alaskan Explorers Homebase - null - Anchorage,Entire apartment in Anchorage,2 guests · Studio · 1 bed · 1 bath,$65 / night,Wifi·Freeparking·Heating,Rating 4.88 out of 5;4.88179 reviews (179),179 reviews
https://airbnb.com/rooms/5794087,The Johnson House Cabin - null - Palmer,Entire cabin in Palmer,2 guests · 1 bedroom · 1 bed · 0 baths,$75 / night,Kitchen·Freeparking·Heating,Rating 4.99 out of 5;4.99241 reviews (241),241 reviews
https://airbnb.com/rooms/44689912,A Diamond in a rough/Midtown minutes from airport - null - Anchorage,Entire apartment in Anchorage,4 guests · 2 bedrooms · 3 beds · 1 bath,$63 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.93 out of 5;4.9315 reviews (15),15 reviews
https://airbnb.com/rooms/19737316,Ptarmigan Rm: Priv. Queen br in Eastside house - null - Anchorage,Private room in Anchorage,1 guest · 1 bedroom · 1 bed · 2 shared baths,$23 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.69 out of 5;4.6974 reviews (74),74 reviews
https://airbnb.com/rooms/14453381,Groovy Turnagain - Lemon Room - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 shared bath,$40 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.93 out of 5;4.93193 reviews (193),193 reviews
https://airbnb.com/rooms/35385095,Apt.#2 Park Studio: Great Location! Near Downtown! - null - Anchorage,Entire apartment in Anchorage,2 guests · 1 bedroom · 1 bed · 1 bath,$41 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.42 out of 5;4.4212 reviews (12),12 reviews
https://airbnb.com/rooms/19849098,"""Kodiak room"" Comfy queen bed in Eastside home - null - Anchorage",Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 2 shared baths,$25 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.55 out of 5;4.5589 reviews (89),89 reviews
https://airbnb.com/rooms/25314793,Aptel Studio Suites - null - Anchorage,Room in aparthotel in Anchorage,4 guests · Studio · 2 beds · 1 private bath,$75 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.22 out of 5;4.229 reviews (9),9 reviews
https://airbnb.com/rooms/44209906,"Sunny, Spotless & Stylie Suite near Prov/UAA - null - Anchorage",Entire apartment in Anchorage,2 guests · 1 bedroom · 2 beds · 1 bath,$70 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.90 out of 5;4.9030 reviews (30),30 reviews
https://airbnb.com/rooms/20651270,Rae Rae’s Guest Nest - null - Anchorage,Private room in Anchorage,1 guest · 1 bedroom · 1 bed · 1 shared bath,$35 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.48 out of 5;4.4828 reviews (28),28 reviews
https://airbnb.com/rooms/43082580,UMed District Studio.  Medical travelers welcome. - null - Anchorage,Entire apartment in Anchorage,2 guests · Studio · 1 bed · 1 bath,$56 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.67 out of 5;4.673 reviews (3),3 reviews
https://airbnb.com/rooms/46715305,Private Cozy Midtown Anchorage Apt - 2 Bed/1 Bath - null - Anchorage,Entire apartment in Anchorage,4 guests · 2 bedrooms · 2 beds · 1 bath,$57 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.80 out of 5;4.805 reviews (5),5 reviews
https://airbnb.com/rooms/47269112,U-Med District Midtown Getaway - null - Anchorage,Entire house in Anchorage,6 guests · 3 bedrooms · 3 beds · 1 bath,$85 / night,Wifi·Kitchen·Freeparking·Heating,,
https://airbnb.com/rooms/33678788,'64 Safe House - null - Anchorage,Private room in Anchorage,2 guests · 1 bedroom · 1 bed · 1 shared bath,$42 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.82 out of 5;4.8245 reviews (45),45 reviews
https://airbnb.com/rooms/17844733,Remodeled Duplex Near JBER/Downtown - null - Anchorage,Entire townhouse in Anchorage,5 guests · 2 bedrooms · 2 beds · 1 bath,$65 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.79 out of 5;4.7999 reviews (99),99 reviews
https://airbnb.com/rooms/41936365,Cozy 2Br/1Ba Unit in University Area - null - Anchorage,Entire apartment in Anchorage,5 guests · 2 bedrooms · 2 beds · 1 bath,$60 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.75 out of 5;4.7544 reviews (44),44 reviews
https://airbnb.com/rooms/35320487,Apt.#4 Park Studio: Great Location! Near Downtown! - null - Anchorage,Entire apartment in Anchorage,2 guests · 1 bedroom · 1 bed · 1 bath,$40 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.62 out of 5;4.6258 reviews (58),58 reviews
https://airbnb.com/rooms/25890014,Secret Spenard B&B (#2)- Close to the Airport - null - Anchorage,Entire apartment in Anchorage,3 guests · 1 bedroom · 1 bed · 1 bath,$69 / night,Wifi·Kitchen·Freeparking·Heating,Rating 4.96 out of 5;4.96168 reviews (168),168 reviews
https://airbnb.com/rooms/28632622,Cupples Cottage #1: Downtown! Close to JBER! - null - Anchorage,Entire apartment in Anchorage,2 guests · 1 bedroom · 1 bed · 1 bath,$73 / night,Wifi·Kitchen·Freeparking·Indoorfireplace,Rating 4.94 out of 5;4.9485 reviews (85),85 reviews
https://airbnb.com/rooms/17306681,Home Away From Home (central to everything) - null - Anchorage,Entire apartment in Anchorage,5 guests · 2 bedrooms · 4 beds · 1 bath,$52 / night,Wifi·Kitchen·Freeparking·Breakfast,Rating 4.89 out of 5;4.8995 reviews (95),95 reviews
